TITLE     = "Eccentric annulus R1=1.0 R2=3.0 eps=0.5000"
VARIABLES = "x corner"
"y corner"
"h"
"detJ"
ZONE T="I200_J80"
 I=200, J=80, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE)
 -8.215180474E-16  3.000000000E+00  6.708203932E+00  4.500000000E+01
 -2.115573847E-01  2.992531282E+00  6.701523708E+00  4.491042001E+01
 -4.216446449E-01  2.970221506E+00  6.681569238E+00  4.464336748E+01
 -6.288229673E-01  2.933356725E+00  6.648596375E+00  4.420383376E+01
 -8.317147691E-01  2.882403605E+00  6.603022519E+00  4.359990639E+01
 -1.029030940E+00  2.817994912E+00  6.545413633E+00  4.284243963E+01
 -1.219594318E+00  2.740910378E+00  6.476467130E+00  4.194462648E+01
 -1.402358579E+00  2.652054000E+00  6.396991569E+00  4.092150113E+01
 -1.576422032E+00  2.552428956E+00  6.307884221E+00  3.978940335E+01
 -1.741036139E+00  2.443111369E+00  6.210107599E+00  3.856543639E+01
 -1.895608871E+00  2.325224077E+00  6.104665999E+00  3.726694696E+01
 -2.039703287E+00  2.199911476E+00  5.992583001E+00  3.591105103E+01
 -2.173031920E+00  2.068316290E+00  5.874880688E+00  3.451422310E+01
 -2.295447697E+00  1.931558923E+00  5.752561181E+00  3.309196014E+01
 -2.406932171E+00  1.790719835E+00  5.626590871E+00  3.165852483E+01
 -2.507581889E+00  1.646825148E+00  5.497887551E+00  3.022676752E+01
 -2.597593637E+00  1.500835532E+00  5.367310469E+00  2.880802167E+01
 -2.677249250E+00  1.353638228E+00  5.235653197E+00  2.741206440E+01
 -2.746900570E+00  1.206041980E+00  5.103639100E+00  2.604713207E+01
 -2.806955015E+00  1.058774548E+00  4.971919105E+00  2.471997958E+01
 -2.857862107E+00  9.124824262E-01  4.841071453E+00  2.343597281E+01
 -2.900101201E+00  7.677323909E-01  4.711603085E+00  2.219920363E+01
 -2.934170562E+00  6.250144896E-01  4.583952314E+00  2.101261882E+01
