TITLE     = "Eccentric annulus R1=1.0 R2=3.0 eps=0.2500"
VARIABLES = "x corner"
"y corner"
"h"
"detJ"
ZONE T="I192_J64"
 I=192, J=64, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE)
  7.135719787E-01  2.913900312E+00  2.056792730E+00  1.899164498E+01
  5.733637983E-01  2.944699298E+00  2.054125502E+00  1.909657788E+01
  4.314938064E-01  2.968806679E+00  2.052052780E+00  1.917891403E+01
  2.883662337E-01  2.986108658E+00  2.050573223E+00  1.923811623E+01
  1.443948774E-01  2.996523005E+00  2.049685873E+00  1.927379500E+01
  5.378098053E-16  3.000000000E+00  2.049390153E+00  1.928571429E+01
 -5.265359315E-16  2.936935540E+00  2.029115256E+00  1.848563286E+01
 -1.413689061E-01  2.933550492E+00  2.029405153E+00  1.847444744E+01
 -2.823286452E-01  2.923411284E+00  2.030275027E+00  1.844096409E+01
 -4.224731446E-01  2.906565541E+00  2.031725427E+00  1.838540048E+01
 -5.614024707E-01  2.883092036E+00  2.033757268E+00  1.830811580E+01
 -6.987257774E-01  2.853099806E+00  2.036371829E+00  1.820960560E+01
 -8.340641105E-01  2.816726934E+00  2.039570754E+00  1.809049458E+01
 -9.670530300E-01  2.774139029E+00  2.043356044E+00  1.795152777E+01
 -1.097345010E+00  2.725527435E+00  2.047730062E+00  1.779356018E+01
 -1.224611589E+00  2.671107203E+00  2.052695522E+00  1.761754512E+01
 -1.348545239E+00  2.611114862E+00  2.058255493E+00  1.742452169E+01
 -1.468860949E+00  2.545806038E+00  2.064413388E+00  1.721560139E+01
 -1.585297492E+00  2.475452957E+00  2.071172964E+00  1.699195451E+01
 -1.697618391E+00  2.400341878E+00  2.078538310E+00  1.675479621E+01
 -1.805612569E+00  2.320770500E+00  2.086513848E+00  1.650537288E+01
 -1.909094704E+00  2.237045379E+00  2.095104317E+00  1.624494879E+01
 -2.007905292E+00  2.149479392E+00  2.104314771E+00  1.597479337E+01
 -2.101910444E+00  2.058389285E+00  2.114150564E+00  1.569616928E+01
 -2.191001433E+00  1.964093334E+00  2.124617343E+00  1.541032138E+01
 -2.275094016E+00  1.866909138E+00  2.135721029E+00  1.511846682E+01
 -2.354127559E+00  1.767151573E+00  2.147467811E+00  1.482178614E+01
 -2.428063996E+00  1.665130912E+00  2.159864123E+00  1.452141568E+01
 -2.496886640E+00  1.561151137E+00  2.172916630E+00  1.421844112E+01
 -2.560598889E+00  1.455508432E+00  2.186632205E+00  1.391389221E+01
 -2.619222838E+00  1.348489874E+00  2.201017911E+00  1.360873866E+01
 -2.672797835E+00  1.240372313E+00  2.216080973E+00  1.330388716E+01
 -2.721379004E+00  1.131421442E+00  2.231828751E+00  1.300017937E+01
 -2.765035744E+00  1.021891046E+00  2.248268711E+00  1.269839088E+01
 -2.803850247E+00  9.120224242E-01  2.265408390E+00  1.239923105E+01
 -2.837916029E+00  8.020439719E-01  2.283255363E+00  1.210334358E+01
 -2.867336505E+00  6.921709135E-01  2.301817197E+00  1.181130773E+01
 -2.892223611E+00  5.826051712E-01  2.321101410E+00  1.152364011E+01
 -2.912696495E+00  4.735353565E-01  2.341115422E+00  1.124079696E+01
 -2.928880264E+00  3.651368720E-01  2.361866499E+00  1.096317673E+01
 -2.940904822E+00  2.575721079E-01  2.383361699E+00  1.069112309E+01
 -2.948903776E+00  1.509907230E-01  2.405607803E+00  1.042492795E+01
 -2.953013428E+00  4.552999432E-02  2.428611250E+00  1.016483487E+01
 -2.953371852E+00 -5.868477333E-02  2.452378060E+00  9.911042318E+00
 -2.950118047E+00 -1.615397917E-01  2.476913750E+00  9.663707107E+00
 -2.943391183E+00 -2.629322960E-01  2.502223249E+00  9.422947766E+00
 -2.933329913E+00 -3.627700236E-01  2.528310799E+00  9.188847849E+00
 -2.920071768E+00 -4.609706750E-01  2.555179857E+00  8.961459159E+00
 -2.903752627E+00 -5.574613610E-01  2.582832977E+00  8.740804862E+00
 -2.884506250E+00 -6.521780467E-01  2.611271698E+00  8.526882457E+00
 -2.862463877E+00 -7.450649945E-01  2.640496411E+00  8.319666604E+00
 -2.837753891E+00 -8.360742137E-01  2.670506230E+00  8.119111785E+00
 -2.810501528E+00 -9.251649192E-01  2.701298841E+00  7.925154801E+00
 -2.780828648E+00 -1.012303003E+00  2.732870353E+00  7.737717098E+00
 -2.748853549E+00 -1.097460523E+00  2.765215139E+00  7.556706923E+00
 -2.714690816E+00 -1.180615208E+00  2.798325658E+00  7.382021311E+00
 -2.678451219E+00 -1.261749983E+00  2.832192285E+00  7.213547909E+00
 -2.640241640E+00 -1.340852517E+00  2.866803120E+00  7.051166641E+00
 -2.600165032E+00 -1.417914791E+00  2.902143796E+00  6.894751220E+00
 -2.558320399E+00 -1.492932691E+00  2.938197280E+00  6.744170516E+00
 -2.514802811E+00 -1.565905615E+00  2.974943663E+00  6.599289791E+00
 -2.469703429E+00 -1.636836120E+00  3.012359958E+00  6.459971799E+00
 -2.423109552E+00 -1.705729570E+00  3.050419878E+00  6.326077774E+00
 -2.375104683E+00 -1.772593823E+00  3.089093629E+00  6.197468303E+00
 -2.325768598E+00 -1.837438927E+00  3.128347691E+00  6.074004100E+00
 -2.275177438E+00 -1.900276847E+00  3.168144613E+00  5.955546681E+00
 -2.223403801E+00 -1.961121204E+00  3.208442806E+00  5.841958958E+00
 -2.170516843E+00 -2.019987035E+00  3.249196345E+00  5.733105755E+00
 -2.116582390E+00 -2.076890572E+00  3.290354794E+00  5.628854247E+00
 -2.061663046E+00 -2.131849038E+00  3.331863030E+00  5.529074344E+00
 -2.005818311E+00 -2.184880460E+00  3.373661105E+00  5.433639008E+00
 -1.949104697E+00 -2.236003490E+00  3.415684118E+00  5.342424526E+00
 -1.891575849E+00 -2.285237255E+00  3.457862125E+00  5.255310730E+00
 -1.833282664E+00 -2.332601204E+00  3.500120080E+00  5.172181184E+00
 -1.774273409E+00 -2.378114979E+00  3.542377820E+00  5.092923327E+00
 -1.714593841E+00 -2.421798290E+00  3.584550087E+00  5.017428588E+00
 -1.654287322E+00 -2.463670810E+00  3.626546604E+00  4.945592475E+00
 -1.593394940E+00 -2.503752070E+00  3.668272211E+00  4.877314634E+00
 -1.531955618E+00 -2.542061369E+00  3.709627049E+00  4.812498891E+00
 -1.470006228E+00 -2.578617690E+00  3.750506819E+00  4.751053277E+00
 -1.407581701E+00 -2.613439629E+00  3.790803106E+00  4.692890035E+00
 -1.344715131E+00 -2.646545324E+00  3.830403767E+00  4.637925615E+00
 -1.281437885E+00 -2.677952395E+00  3.869193405E+00  4.586080656E+00
 -1.217779700E+00 -2.707677889E+00  3.907053903E+00  4.537279964E+00
 -1.153768784E+00 -2.735738233E+00  3.943865043E+00  4.491452481E+00
 -1.089431913E+00 -2.762149186E+00  3.979505191E+00  4.448531246E+00
 -1.024794525E+00 -2.786925804E+00  4.013852051E+00  4.408453353E+00
 -9.598808082E-01 -2.810082402E+00  4.046783484E+00  4.371159909E+00
 -8.947137965E-01 -2.831632523E+00  4.078178383E+00  4.336595988E+00
 -8.293154502E-01 -2.851588911E+00  4.107917594E+00  4.304710584E+00
 -7.637067428E-01 -2.869963486E+00  4.135884877E+00  4.275456562E+00
 -6.979077427E-01 -2.886767324E+00  4.161967890E+00  4.248790617E+00
 -6.319376936E-01 -2.902010634E+00  4.186059187E+00  4.224673223E+00
 -5.658150921E-01 -2.915702746E+00  4.208057211E+00  4.203068599E+00
 -4.995577649E-01 -2.927852094E+00  4.227867270E+00  4.183944659E+00
 -4.331829434E-01 -2.938466202E+00  4.245402473E+00  4.167272985E+00
